Subject,Start Date,Start Time,End Date,End Time
Dava.X Academy Technical Introduction,6/3/2025,4:00:00 PM,6/3/2025,5:00:00 PM
Daxa X - Generic RDBMS,6/4/2025,11:00:00 AM,6/4/2025,1:00:00 PM
Daxa X - Generic RDBMS,6/5/2025,11:15:00 AM,6/5/2025,1:00:00 PM
[Dava.X] Introduction to SDLC,6/5/2025,2:00:00 PM,6/5/2025,3:00:00 PM
Prompt Engineering I,6/6/2025,11:00:00 AM,6/6/2025,12:00:00 PM
Prompt Engineering II,6/6/2025,4:00:00 PM,6/6/2025,5:00:00 PM
Into the custom GPT - workshop [In-person] & [Online],6/10/2025,2:00:00 PM,6/10/2025,4:00:00 PM
Dava.X Academy - PL/SQL training session,6/10/2025,9:00:00 AM,6/10/2025,10:00:00 AM
Dava.X Academy - PL/SQL training session,6/11/2025,9:00:00 AM,6/11/2025,10:00:00 AM
Dava.X Academy - PL/SQL training session,6/12/2025,9:00:00 AM,6/12/2025,10:00:00 AM
Dava.X Academy - PL/SQL training session,6/13/2025,9:00:00 AM,6/13/2025,10:00:00 AM
Dava.X Academy - PL/SQL training session,6/17/2025,9:00:00 AM,6/17/2025,10:00:00 AM
Dava.X.Academy. Q&A Seesion,6/18/2025,4:00:00 PM,6/18/2025,5:00:00 PM
Dava.X Academy - PL/SQL training session,6/18/2025,9:00:00 AM,6/18/2025,10:00:00 AM
Dava.X Academy - PL/SQL training session,6/19/2025,9:00:00 AM,6/19/2025,10:00:00 AM
Dava.X Academy - Data Modeling training session,6/23/2025,10:30:00 AM,6/23/2025,12:00:00 PM
Software Architecture - The Big Picture,6/23/2025,9:00:00 AM,6/23/2025,10:30:00 AM
Dava.X Academy - ETL Theory training sessions,6/24/2025,2:00:00 PM,6/24/2025,3:30:00 PM
Dava.X Academy - ETL Theory training sessions,6/25/2025,2:00:00 PM,6/25/2025,3:30:00 PM
Dava.X Academy - ETL Theory training sessions,6/26/2025,2:00:00 PM,6/26/2025,3:30:00 PM
Git - Command Line,6/30/2025,10:30:00 AM,6/30/2025,11:30:00 AM
